epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,502.717,1.74912,1.10521,1.31947,0.68288,0.7343,0.74807,0.37493,1.75848,1.21022,1.39719,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,514.775,1.74039,1.14683,1.32953,0.70441,0.66667,0.72036,0.35608,1.77007,1.22325,1.40688,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,526.615,1.71497,1.09745,1.30923,0.71219,0.64552,0.70777,0.3396,1.79816,1.2471,1.42223,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,538.29,1.72674,1.15976,1.35985,0.73551,0.64734,0.73046,0.36821,1.75878,1.21202,1.38799,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,550.35,1.76899,1.11726,1.28718,0.70704,0.6715,0.73732,0.37432,1.75759,1.2007,1.37698,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,562.192,1.72828,1.08674,1.29885,0.67089,0.72873,0.72731,0.36432,1.7676,1.2203,1.37445,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,574.021,1.73296,1.09167,1.30807,0.67349,0.71014,0.73282,0.36483,1.7604,1.19917,1.38759,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,585.792,1.70347,1.08894,1.32258,0.70186,0.70531,0.73892,0.37366,1.77058,1.20663,1.39111,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,597.864,1.74537,1.13757,1.30828,0.69856,0.71498,0.73523,0.36427,1.78299,1.20133,1.39969,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,610.307,1.75691,1.11026,1.29152,0.67147,0.7343,0.72302,0.35688,1.78573,1.19442,1.39634,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,622.97,1.72583,1.07666,1.32015,0.6925,0.63768,0.69165,0.35044,1.78738,1.20014,1.40729,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,635.1,1.67247,1.0652,1.30567,0.71173,0.64734,0.72174,0.3606,1.7651,1.18671,1.3885,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,647.132,1.74105,1.08835,1.31301,0.69276,0.68599,0.71707,0.35597,1.77693,1.1834,1.40207,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,659.248,1.65913,1.08816,1.28389,0.66934,0.71981,0.73144,0.36711,1.78988,1.17407,1.4108,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,671.151,1.70941,1.04991,1.28016,0.68265,0.69565,0.73408,0.36429,1.81657,1.19321,1.43495,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,683.183,1.68136,1.02408,1.28022,0.66509,0.70032,0.72769,0.36709,1.78064,1.19145,1.41382,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,695.34,1.69041,1.10146,1.29507,0.66988,0.72543,0.73813,0.38174,1.76811,1.16343,1.39863,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,707.45,1.70872,1.07278,1.27234,0.65433,0.74879,0.73824,0.36655,1.77752,1.15645,1.39656,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,719.733,1.67494,1.05878,1.29316,0.7119,0.68044,0.7268,0.36963,1.76812,1.15667,1.38266,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,731.84,1.67646,1.04255,1.28351,0.69961,0.70883,0.71875,0.36858,1.76171,1.16275,1.38214,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,745.595,1.67638,1.04236,1.26633,0.70041,0.71014,0.73617,0.37108,1.77211,1.14817,1.3921,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,758.9,1.71991,1.04383,1.29075,0.67446,0.74066,0.74257,0.37166,1.77321,1.15323,1.40131,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,772.005,1.66334,1.03058,1.26137,0.72147,0.69565,0.74405,0.37586,1.77682,1.14583,1.3997,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,785.298,1.68743,1.04039,1.2615,0.7277,0.69082,0.74147,0.37903,1.77082,1.15016,1.39277,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,798.638,1.6378,1.01351,1.26185,0.73063,0.69449,0.74053,0.38057,1.77078,1.14521,1.38662,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,812.317,1.65124,1.01442,1.26001,0.71849,0.71514,0.7544,0.37568,1.77864,1.14332,1.39352,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,825.955,1.63701,1.01426,1.25585,0.7242,0.68599,0.74419,0.37434,1.77129,1.13638,1.39677,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,839.12,1.71078,1.02487,1.2809,0.73377,0.68599,0.74384,0.37635,1.76844,1.13632,1.39508,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,852.508,1.67199,1.0146,1.24921,0.71753,0.68721,0.73038,0.36277,1.77455,1.15147,1.4009,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,865.718,1.62526,1.02618,1.25532,0.73642,0.67633,0.73059,0.36458,1.76394,1.14284,1.394,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,878.839,1.65406,1.00209,1.24656,0.6901,0.72464,0.73723,0.37358,1.76335,1.1327,1.39513,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,890.718,1.61932,1.02603,1.25895,0.68756,0.7123,0.72831,0.37495,1.76145,1.13751,1.39155,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,902.569,1.60376,0.99873,1.23962,0.70801,0.72947,0.73662,0.37136,1.75649,1.12698,1.39186,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,914.46,1.60662,0.99377,1.24235,0.71358,0.75823,0.74572,0.36818,1.75735,1.11887,1.39486,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,926.166,1.57872,0.97064,1.24022,0.7186,0.76486,0.75064,0.37022,1.75072,1.11507,1.39627,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,938.985,1.6229,1.00833,1.26066,0.72262,0.74396,0.75133,0.37108,1.75878,1.11415,1.40054,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,952.484,1.63513,0.99083,1.26006,0.74252,0.72445,0.74399,0.37024,1.75945,1.1086,1.39232,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,966.142,1.62543,0.96727,1.23061,0.7323,0.7343,0.74229,0.36582,1.78049,1.11161,1.40264,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,979.174,1.59465,0.98172,1.24095,0.73503,0.70531,0.74227,0.37103,1.76951,1.09796,1.39358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,992.3,1.60196,0.96621,1.24404,0.7318,0.68543,0.73117,0.36584,1.75861,1.09583,1.38907,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1005.41,1.6534,0.99822,1.25217,0.69887,0.71756,0.73226,0.36192,1.76973,1.10501,1.3926,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1018.53,1.65622,1.009,1.25513,0.74294,0.69082,0.74241,0.36977,1.75768,1.09814,1.38482,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,1031.69,1.55491,0.95894,1.2124,0.73121,0.68116,0.73725,0.36718,1.76169,1.09717,1.38554,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,1044.85,1.63285,0.97389,1.22861,0.72868,0.68116,0.73795,0.36671,1.76587,1.10131,1.38517,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,1057.87,1.60654,1.00076,1.24063,0.69002,0.72464,0.73907,0.36627,1.78171,1.10985,1.39397,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,1071.17,1.59475,0.97476,1.22034,0.69364,0.72464,0.73857,0.36646,1.7844,1.10767,1.40166,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,1084.14,1.57445,0.9642,1.22632,0.6854,0.71014,0.73807,0.3663,1.78072,1.10234,1.40464,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1097.23,1.57144,0.9702,1.23484,0.67778,0.74182,0.74363,0.36607,1.77272,1.10268,1.39881,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,1110.63,1.58858,0.98705,1.25071,0.68432,0.7343,0.7455,0.36843,1.7748,1.10861,1.40145,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,1123.14,1.59146,1.01326,1.24594,0.68914,0.7343,0.73943,0.36114,1.79006,1.1234,1.40961,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,1135.62,1.5859,1.01195,1.26363,0.69159,0.71981,0.73419,0.35918,1.79717,1.13311,1.4099,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,1148.21,1.55664,0.96927,1.25241,0.70654,0.69565,0.73911,0.35847,1.80192,1.12889,1.40956,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,1160.78,1.58891,0.98274,1.27018,0.7553,0.66667,0.73868,0.36169,1.79236,1.13072,1.39993,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,1173.42,1.56929,0.9659,1.27669,0.68703,0.73913,0.74783,0.36432,1.79171,1.12838,1.40298,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,1186.24,1.54504,0.96855,1.26028,0.6914,0.7343,0.74269,0.36232,1.7858,1.13106,1.4033,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,1198.87,1.54684,0.97271,1.22739,0.70423,0.71981,0.74308,0.36248,1.78319,1.13063,1.40175,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,1211.4,1.55082,0.95801,1.23477,0.70893,0.72949,0.74176,0.36313,1.78173,1.13419,1.40187,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,1223.74,1.54855,0.96444,1.24359,0.70397,0.72947,0.741,0.36031,1.78083,1.13651,1.40147,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,1235.49,1.56909,0.97932,1.23261,0.6968,0.74386,0.7439,0.36256,1.77612,1.13593,1.39709,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
