epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,206.349,1.20094,1.22476,1.26333,0.80008,0.64031,0.74381,0.47344,1.242,1.20711,1.29796,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,211.245,1.10207,1.16645,1.23406,0.80008,0.64031,0.74381,0.47344,1.242,1.20711,1.29796,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,216.364,1.14093,1.14696,1.22343,0.80319,0.65143,0.75184,0.47591,1.23043,1.20657,1.29119,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,221.489,1.11285,1.09778,1.20705,0.79444,0.66286,0.7562,0.4856,1.21426,1.21217,1.28092,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,226.647,1.09008,1.08336,1.19318,0.78412,0.66419,0.75692,0.47316,1.21526,1.22349,1.28496,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,231.668,1.11145,1.11248,1.20306,0.78412,0.66419,0.75692,0.47316,1.21526,1.22349,1.28496,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,237.198,1.1321,1.05394,1.2115,0.78976,0.66544,0.76293,0.48427,1.20968,1.24466,1.27466,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,242.396,1.16242,1.08406,1.22083,0.80895,0.67429,0.76891,0.4822,1.21168,1.26719,1.26941,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,247.524,1.09423,1.05828,1.18988,0.78539,0.68,0.76554,0.48574,1.20097,1.26435,1.25947,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,252.571,1.05162,1.02476,1.17288,0.78539,0.68,0.76554,0.48574,1.20097,1.26435,1.25947,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,257.707,1.04842,1.01466,1.15988,0.77137,0.68571,0.76485,0.48871,1.19198,1.24759,1.24813,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,262.755,1.06856,1.02601,1.17854,0.76064,0.69143,0.77323,0.49447,1.18853,1.22114,1.24147,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,267.727,1.01473,0.97118,1.14521,0.75161,0.70892,0.7799,0.50169,1.1822,1.20235,1.23426,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,272.643,1.00905,1.02541,1.16154,0.75161,0.70892,0.7799,0.50169,1.1822,1.20235,1.23426,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,277.613,1.03898,1.03598,1.15285,0.78931,0.70286,0.78456,0.50758,1.16321,1.17817,1.2273,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,282.793,1.03011,0.96912,1.14661,0.79082,0.70857,0.7864,0.51512,1.16278,1.16342,1.23103,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,288.142,1.07115,0.99584,1.16916,0.79361,0.70857,0.78671,0.51481,1.15034,1.14514,1.22515,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,292.997,1.03655,0.99412,1.15534,0.79361,0.70857,0.78671,0.51481,1.15034,1.14514,1.22515,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,297.936,1.08961,1.04459,1.19585,0.78803,0.72228,0.78184,0.52087,1.14339,1.14935,1.21467,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,302.98,1.05256,0.97648,1.15245,0.79652,0.73817,0.7934,0.52067,1.13572,1.14719,1.20469,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,308.125,1.05716,0.96286,1.13895,0.78438,0.73143,0.79028,0.51402,1.13506,1.13562,1.20839,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,313.154,1.04148,0.9515,1.14029,0.78438,0.73143,0.79028,0.51402,1.13506,1.13562,1.20839,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,318.199,1.07971,1.02028,1.16664,0.73125,0.77143,0.78606,0.5174,1.12906,1.13118,1.2037,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,323.282,1.0443,0.95677,1.15186,0.74107,0.77714,0.78186,0.51931,1.1231,1.12868,1.20362,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,328.231,1.03139,0.95897,1.14602,0.74394,0.76,0.78175,0.5148,1.11965,1.1147,1.20263,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,333.173,1.03091,0.95446,1.12982,0.74394,0.76,0.78175,0.5148,1.11965,1.1147,1.20263,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,338.218,1.03028,0.93418,1.13664,0.74996,0.75429,0.78139,0.51484,1.12212,1.1074,1.20264,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,343.183,1.01273,0.96355,1.12742,0.75443,0.75486,0.7822,0.51654,1.12173,1.10166,1.19643,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,348.307,1.05419,0.95411,1.13917,0.75872,0.74857,0.77782,0.51527,1.12927,1.09442,1.20214,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,353.349,0.9626,0.91733,1.10305,0.75872,0.74857,0.77782,0.51527,1.12927,1.09442,1.20214,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,358.526,1.01672,0.91569,1.12477,0.74557,0.74286,0.77625,0.51262,1.1261,1.08316,1.19924,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,363.488,0.94243,0.88664,1.09957,0.78597,0.73445,0.78366,0.51409,1.1174,1.07348,1.19728,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,368.573,1.05782,0.93174,1.14089,0.78836,0.72373,0.78273,0.51654,1.11436,1.06542,1.19594,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,373.732,1.01513,0.92356,1.12028,0.78836,0.72373,0.78273,0.51654,1.11436,1.06542,1.19594,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,378.884,0.97765,0.91706,1.11997,0.7867,0.73143,0.78428,0.51546,1.10982,1.06304,1.19434,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,383.952,0.97647,0.94454,1.11658,0.77956,0.71429,0.78357,0.51836,1.10195,1.05088,1.19099,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,388.928,0.96598,0.88491,1.11126,0.72551,0.77028,0.78097,0.52168,1.09219,1.04498,1.18803,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,393.857,0.96076,0.91247,1.11441,0.72551,0.77028,0.78097,0.52168,1.09219,1.04498,1.18803,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,399.033,1.00345,0.92139,1.12427,0.72896,0.76842,0.79688,0.52351,1.09478,1.03953,1.18436,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,404.1,1.01495,0.91833,1.12291,0.80361,0.7015,0.7861,0.51974,1.09672,1.03376,1.18128,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,409.206,0.96814,0.87338,1.10175,0.79848,0.70286,0.79622,0.52278,1.09623,1.03275,1.18377,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,414.119,0.98458,0.92118,1.14039,0.79848,0.70286,0.79622,0.52278,1.09623,1.03275,1.18377,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,419.081,0.90508,0.90172,1.08559,0.78146,0.73559,0.79959,0.52814,1.09837,1.03401,1.18641,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,424.105,0.95496,0.89952,1.10179,0.77831,0.72222,0.80122,0.52713,1.10134,1.0375,1.1898,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,429.385,0.94848,0.89132,1.10918,0.78261,0.73714,0.80485,0.53062,1.10187,1.03171,1.18817,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
