epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,1749.12,1.18359,0.87853,1.27739,0.89938,0.83328,0.90763,0.50866,1.50285,0.95057,1.42807,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1771.03,1.13455,0.87004,1.22405,0.91236,0.83051,0.90833,0.51504,1.49963,0.93983,1.42415,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1793.85,1.17773,0.87618,1.26027,0.91227,0.83051,0.91071,0.51355,1.50437,0.9395,1.42574,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1816.93,1.17421,0.83847,1.26421,0.92208,0.83051,0.9121,0.51592,1.50258,0.92888,1.41937,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1839.46,1.18441,0.86661,1.26368,0.91427,0.83051,0.91298,0.51457,1.50623,0.92654,1.42224,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1862.17,1.13978,0.81259,1.20902,0.92181,0.83051,0.91944,0.51821,1.50426,0.92491,1.42123,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1884.81,1.14104,0.83486,1.24252,0.92411,0.82554,0.92009,0.52133,1.497,0.92511,1.41495,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1906.96,1.12612,0.79633,1.25221,0.92578,0.80508,0.91928,0.51388,1.49941,0.92867,1.41422,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1930,1.12469,0.79198,1.23369,0.92144,0.82203,0.91898,0.51305,1.50104,0.92549,1.41426,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1953.12,1.17223,0.92429,1.27859,0.9226,0.80819,0.91961,0.5162,1.50125,0.92191,1.41281,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,1977.92,1.1732,0.91169,1.30621,0.87643,0.84746,0.91993,0.51762,1.49941,0.91942,1.40804,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,2004.17,1.13774,0.81854,1.23964,0.88363,0.85593,0.92069,0.52117,1.49654,0.91325,1.40533,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,2029.47,1.11374,0.93708,1.23288,0.89263,0.85593,0.92239,0.5224,1.49402,0.90616,1.40308,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,2055.14,1.09849,0.83075,1.22765,0.89112,0.83051,0.92353,0.52407,1.49339,0.90415,1.40233,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,2080.78,1.14701,0.80538,1.25678,0.91568,0.82828,0.92279,0.52743,1.49577,0.90184,1.40461,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,2105.93,1.17751,0.88684,1.26032,0.91013,0.83051,0.91951,0.53159,1.49508,0.89688,1.40237,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,2131.54,1.16375,0.84602,1.26752,0.91358,0.83051,0.91899,0.52908,1.49371,0.89605,1.40239,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,2156.71,1.27913,1.02677,1.36847,0.91236,0.83051,0.92204,0.52534,1.48712,0.898,1.3981,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,2181.45,1.14385,0.91655,1.19674,0.92553,0.81356,0.92168,0.52293,1.47994,0.89599,1.3936,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,2205.52,1.1894,0.92445,1.23627,0.90559,0.83051,0.91207,0.52106,1.47768,0.89254,1.39508,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,2228.39,1.11009,0.85208,1.19513,0.89736,0.83051,0.91214,0.52358,1.47433,0.89089,1.39213,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,2251.2,1.09286,0.87087,1.23719,0.89805,0.83051,0.91171,0.51954,1.47634,0.88962,1.39321,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,2274.51,1.03405,0.82022,1.18271,0.91678,0.80508,0.91161,0.51595,1.47783,0.89443,1.39314,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,2300.31,1.04993,0.86282,1.22248,0.82327,0.88136,0.90052,0.51351,1.48035,0.89452,1.3946,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,2324.81,1.10548,0.83084,1.22255,0.81925,0.88346,0.89906,0.5152,1.48124,0.89295,1.39694,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,2349.19,1.11831,0.79848,1.22402,0.84272,0.84746,0.89932,0.51655,1.48285,0.8933,1.39788,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,2374.34,1.07438,0.81406,1.21003,0.82764,0.88983,0.90031,0.51546,1.48537,0.89661,1.40238,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
