epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,924.565,1.6042,1.05423,1.31209,0.83212,0.83333,0.84767,0.24004,2.63323,1.32713,1.88302,0.0002972,0.0002972,0.0002972
88,934.932,1.67904,1.11714,1.3356,0.83248,0.83333,0.83894,0.24951,2.63499,1.3732,1.83943,0.0002774,0.0002774,0.0002774
89,945.506,1.66135,1.01982,1.24887,0.83248,0.83333,0.83894,0.24951,2.63499,1.3732,1.83943,0.0002576,0.0002576,0.0002576
90,956.051,1.58655,0.99845,1.25673,0.83223,0.82784,0.83167,0.25668,2.55086,1.33158,1.76201,0.0002378,0.0002378,0.0002378
91,966.597,1.6049,1.06822,1.28443,0.83195,0.83333,0.79833,0.25953,2.48478,1.33659,1.73629,0.000218,0.000218,0.000218
92,976.888,1.56807,1.05105,1.27009,0.82336,0.83333,0.79967,0.3055,2.45201,1.37933,1.73731,0.0001982,0.0001982,0.0001982
93,987.21,1.54115,1.00495,1.24826,0.82336,0.83333,0.79967,0.3055,2.45201,1.37933,1.73731,0.0001784,0.0001784,0.0001784
94,997.536,1.53098,1.03201,1.23427,0.82549,0.83333,0.83894,0.28612,2.45671,1.42322,1.74235,0.0001586,0.0001586,0.0001586
95,1007.78,1.51906,1.00348,1.24547,0.82436,0.83333,0.83894,0.27703,2.47141,1.47345,1.76661,0.0001388,0.0001388,0.0001388
96,1018.03,1.49762,1.00257,1.25609,0.83278,0.83059,0.84767,0.27125,2.449,1.52455,1.78199,0.000119,0.000119,0.000119
97,1028.29,1.52877,1.01683,1.2389,0.83278,0.83059,0.84767,0.27125,2.449,1.52455,1.78199,9.92e-05,9.92e-05,9.92e-05
98,1038.59,1.48988,0.96463,1.22943,0.83179,0.8256,0.84767,0.26827,2.47027,1.51151,1.7815,7.94e-05,7.94e-05,7.94e-05
99,1048.97,1.52951,1.00141,1.26542,0.83158,0.82455,0.83894,0.26801,2.4745,1.50361,1.77511,5.96e-05,5.96e-05,5.96e-05
100,1059.24,1.51444,0.96969,1.24887,0.83061,0.81969,0.83894,0.25028,2.48846,1.49361,1.77025,3.98e-05,3.98e-05,3.98e-05
