epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,228.672,0.93012,0.99551,1.10242,0.82286,0.70199,0.78446,0.55412,0.96121,1.13475,1.14253,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,233.753,0.94417,0.97595,1.10804,0.86535,0.70199,0.78256,0.5567,0.95297,1.12798,1.13699,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,239.187,0.86723,0.96858,1.07754,0.86535,0.70199,0.78256,0.5567,0.95297,1.12798,1.13699,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,244.487,0.87407,0.91507,1.06798,0.79809,0.75912,0.79546,0.56754,0.95074,1.12363,1.13161,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,249.719,0.88488,0.93296,1.08263,0.83306,0.76008,0.80983,0.57092,0.95344,1.10433,1.13367,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,255.178,0.90036,0.93738,1.08112,0.83238,0.7351,0.80675,0.56432,0.96668,1.10628,1.13589,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,260.2,0.88424,0.89701,1.08168,0.83238,0.7351,0.80675,0.56432,0.96668,1.10628,1.13589,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,265.507,0.85558,0.88678,1.06026,0.87529,0.75497,0.83137,0.57461,0.97922,1.09267,1.14057,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,270.74,0.89742,0.93492,1.0723,0.81486,0.81457,0.84043,0.58254,0.96508,1.0742,1.13409,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,276.241,0.9095,0.91346,1.0798,0.81799,0.78146,0.82479,0.57549,0.95833,1.05171,1.12781,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,281.396,0.87229,0.90167,1.06108,0.81799,0.78146,0.82479,0.57549,0.95833,1.05171,1.12781,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,286.666,0.81922,0.86708,1.0405,0.82267,0.76159,0.82911,0.58257,0.96141,1.05925,1.12637,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,292.152,0.86568,0.91046,1.05795,0.82506,0.78084,0.82133,0.583,0.9594,1.0456,1.12609,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,297.567,0.86151,0.88854,1.06445,0.80749,0.80132,0.8307,0.58439,0.9666,1.03704,1.13007,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,302.919,0.82213,0.86798,1.03967,0.80749,0.80132,0.8307,0.58439,0.9666,1.03704,1.13007,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,308.298,0.83233,0.88702,1.04914,0.81844,0.80606,0.83619,0.59109,0.97221,1.01896,1.13282,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,313.75,0.85846,0.8612,1.052,0.80789,0.77978,0.83356,0.59524,0.95884,1.00673,1.12541,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,319.212,0.85434,0.86317,1.05689,0.85853,0.7636,0.84224,0.59809,0.95203,0.99091,1.11961,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,324.544,0.78687,0.82483,1.02731,0.85853,0.7636,0.84224,0.59809,0.95203,0.99091,1.11961,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,330.016,0.86468,0.85941,1.04142,0.85203,0.76267,0.84014,0.59544,0.94865,0.98044,1.11424,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,335.382,0.80689,0.83391,1.03272,0.81298,0.8061,0.84562,0.59153,0.96679,0.98065,1.11761,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,340.731,0.81333,0.81266,1.02676,0.82542,0.7828,0.83869,0.59644,0.95718,0.97796,1.11205,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,345.977,0.80983,0.81943,1.0482,0.82542,0.7828,0.83869,0.59644,0.95718,0.97796,1.11205,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,351.244,0.8111,0.82,1.02303,0.83868,0.75745,0.83072,0.60187,0.93883,0.97416,1.10551,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,356.553,0.7942,0.80906,1.01756,0.79234,0.78332,0.82425,0.59602,0.93769,0.97249,1.10953,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,361.913,0.78185,0.80783,1.01365,0.7943,0.79274,0.82602,0.59528,0.95157,0.96853,1.11582,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,367.158,0.7578,0.79723,1.01526,0.7943,0.79274,0.82602,0.59528,0.95157,0.96853,1.11582,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,372.394,0.81937,0.81654,1.03333,0.86222,0.74172,0.82593,0.59815,0.94021,0.96442,1.11139,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,377.448,0.7829,0.79002,1.02946,0.86596,0.74172,0.83119,0.59911,0.93706,0.95998,1.11243,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,382.574,0.75125,0.80802,1.00809,0.88149,0.74172,0.82852,0.59611,0.93783,0.96045,1.11299,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,387.892,0.82917,0.83684,1.03079,0.88149,0.74172,0.82852,0.59611,0.93783,0.96045,1.11299,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,392.913,0.7655,0.80131,1.01229,0.89958,0.74172,0.82798,0.60021,0.93786,0.95989,1.11281,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,397.874,0.79918,0.80513,1.02928,0.88675,0.74834,0.83268,0.59753,0.93736,0.94483,1.1123,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,402.856,0.80736,0.76831,1.03128,0.88057,0.75497,0.83404,0.59453,0.93758,0.9425,1.11125,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,407.93,0.79338,0.79799,1.02269,0.88057,0.75497,0.83404,0.59453,0.93758,0.9425,1.11125,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,413.047,0.78486,0.7727,1.02421,0.8902,0.7517,0.833,0.59947,0.93637,0.93591,1.11072,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,418.184,0.77735,0.78218,1.01484,0.89398,0.76159,0.83583,0.59897,0.93946,0.9354,1.11307,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,423.434,0.78428,0.76637,1.01012,0.90862,0.75497,0.83218,0.59822,0.94158,0.93721,1.11549,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,428.644,0.80215,0.78962,1.01532,0.90862,0.75497,0.83218,0.59822,0.94158,0.93721,1.11549,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,433.677,0.79966,0.77888,1.01917,0.91249,0.75961,0.83297,0.59389,0.94706,0.93261,1.11712,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,439,0.78081,0.79723,1.00021,0.89094,0.76821,0.83217,0.58998,0.95083,0.92777,1.11907,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,444.022,0.76824,0.7584,1.01632,0.89137,0.76082,0.83107,0.59469,0.94432,0.92736,1.11649,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,448.982,0.78345,0.78658,1.01011,0.89137,0.76082,0.83107,0.59469,0.94432,0.92736,1.11649,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,454.315,0.74268,0.75618,1.00328,0.90141,0.74834,0.83136,0.5958,0.94281,0.9249,1.11487,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,459.543,0.78328,0.7853,1.01423,0.90731,0.74834,0.83235,0.59469,0.94323,0.92337,1.11675,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,464.709,0.79612,0.77119,1.02074,0.91213,0.75497,0.83066,0.59574,0.94379,0.9211,1.11934,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,469.767,0.78622,0.77419,1.01279,0.91213,0.75497,0.83066,0.59574,0.94379,0.9211,1.11934,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,474.989,0.75565,0.79827,1.01538,0.85361,0.78808,0.83059,0.59362,0.94441,0.92103,1.12052,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,479.975,0.79517,0.94324,1.02778,0.85027,0.78976,0.82865,0.59265,0.94078,0.9274,1.12203,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,484.787,0.84425,0.9997,1.08288,0.84105,0.80596,0.82572,0.58968,0.94059,0.92951,1.12356,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,489.852,0.78732,0.93245,1.03649,0.84105,0.80596,0.82572,0.58968,0.94059,0.92951,1.12356,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,494.727,0.74554,0.8898,1.00758,0.85834,0.80795,0.82784,0.589,0.93657,0.93109,1.1228,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,499.432,0.73992,0.90275,1.01177,0.84587,0.80795,0.82542,0.59127,0.93147,0.93507,1.12044,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,504.393,0.77224,0.90438,1.03372,0.84134,0.80771,0.82362,0.59179,0.92978,0.94022,1.11992,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,509.33,0.76094,0.92523,1.02316,0.84134,0.80771,0.82362,0.59179,0.92978,0.94022,1.11992,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,514.346,0.76127,0.88372,0.99771,0.83605,0.80132,0.81817,0.58776,0.92996,0.94566,1.12274,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,519.19,0.77468,0.91253,1.01186,0.8412,0.80132,0.81826,0.58656,0.93296,0.95159,1.1262,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,523.956,0.74154,0.87322,1.0062,0.82879,0.80143,0.81368,0.58555,0.93635,0.95752,1.12861,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
